Kostas#Antetokounmpo#Grecia#A#Los Angeles Lakers 
Avery#Bradley#Estados Unidos#B#Los Angeles Lakers 
Devontae#Cacok#Estados Unidos#AP#Los Angeles Lakers 
Kentavious#Caldwell-Pope#Estados Unidos#B#Los Angeles Lakers 
Jordan#Caroline#Estados Unidos#A-E#Los Angeles Lakers 
Alex#Caruso#Estados Unidos#B#Los Angeles Lakers 
Quinn#Cook#Estados Unidos#B#Los Angeles Lakers 
DeMarcus#Cousins#Estados Unidos#P#Los Angeles Lakers  
Troy#Daniels#Estados Unidos#A#Los Angeles Lakers 
Anthony#Davis#Estados Unidos#AP#Los Angeles Lakers 
Jared#Dudley#Estados Unidos#A#Los Angeles Lakers 
Danny#Green#Estados Unidos#E-A#Los Angeles Lakers 
Talen#Horton-Tucker#Estados Unidos#B#Los Angeles Lakers 
Dwight#Howard#Estados Unidos#P#Los Angeles Lakers 
Demetrius#Jackson#Estados Unidos#B#Los Angeles Lakers 
LeBron#James#Estados Unidos#A#Los Angeles Lakers 
Kyle#Kuzma#Estados Unidos#A#Los Angeles Lakers 
JaVale#McGee#Estados Unidos#P#Los Angeles Lakers 
Zach#Norvell Jr.#Estados Unidos#B#Los Angeles Lakers 
Rajon#Rondo#Estados Unidos#B#Los Angeles Lakers 
